,Number of HITs,Number of Turkers,Uniform Weights,Average Accuracy
0,1-10,93,0.17342402151739963,0.5147241234764954
1,11-20,15,0.18636385386957338,0.5531296673401936
2,21-30,6,0.18345301452817223,0.5444902688562109
3,31-40,3,0.15072805378610282,0.44736227824463115
4,41-50,1,0.13064483689946732,0.3877551020408163
5,51-60,1,0.1753862193992849,0.5205479452054794
