State,Count
California,10
Texas,10
Pennsylvania,8
Michigan,8
New York,5
Arizona,4
Ohio,4
North Carolina,4
Illinois,4
Colorado,3
,3
Georgia,3
Massachusetts,3
Washington,3
Florida,3
New Jersey,2
Wisconsin,2
Alabama,2
Idaho,2
Iowa,2
Tennessee,2
Kansas,2
Virginia,1
Missouri,1
Connecticut,1
Maine,1
New Hampshire,1
Indiana,1
Utah,1
