Error Type,Count,Guessed
no error,20,20
S,19,18
RP,18,16
MP,16,1
RT,15,7
RV,12,6
TV,10,6
R,9,3
RN,8,5
UD,7,4
MT,7,0
UT,6,4
UP,6,6
RD,6,2
MD,6,0
FV,5,5
MV,5,0
AGV,5,4
M,4,0
MA,4,0
RY,4,1
W,4,2
MY,3,0
UV,3,2
AGN,2,2
IJ,2,2
DN,2,2
ID,2,1
MC,2,0
UA,2,1
DJ,2,2
DY,2,2
IN,2,2
FN,2,2
IV,1,1
IY,1,1
U,1,1
FY,1,1
RA,1,0
UN,1,0
UC,1,1
CE,1,1
SX,1,1
FD,1,1
RC,1,1
RJ,1,1
DD,1,1
AGA,1,0
AS,1,1
X,1,0
IQ,1,1
UY,1,1
